48887991,Bowflex Brand,Bowflex Max Trainer,Online Search,CAM30796 SAWDOSG2G,Internal,Call Center Internal,10/23/2017,10/24/2017,IHA-100359 MAX TRAINER M5 Assembly,0,169.00
48888412,Bowflex Brand,Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM16616 DEGBFBHG,Internal,Web,10/23/2017,10/24/2017,100405 BFX SELECTTECH 560 DUMBBELL KIT,1,355.40
48888412,Bowflex Brand,Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM16616 DEGBFBHG,Internal,Web,10/23/2017,10/24/2017,100405-PS3 BST560 Protection Plan - 3 yrs parts/4 yrs electr (90 days),0,69.00
48888412,Bowflex Brand,Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM16616 DEGBFBHG,Internal,Web,10/23/2017,10/24/2017,100340 BFX 4.1 Bench,0,139.30
48888412,Bowflex Brand,Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM16616 DEGBFBHG,Internal,Web,10/23/2017,10/24/2017,100406 BFX SELECTTECH 560 STAND,0,104.30
48888513,Bowflex Max Trainer,Bowflex Max Trainer,Un-Sourced,CAM45327 1800MAXTRAINER,Internal,Call Center Internal,10/23/2017,10/24/2017,100469 BFX Max Trainer M7,1,2001.09
48888616,Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM16616 DEGBFBHG,Internal,Web,10/23/2017,10/24/2017,100359 BFX MAX TRAINER M5,1,1499.00
48888616,Bowflex Brand,Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM16616 DEGBFBHG,Internal,Web,10/23/2017,10/24/2017,100131 BFX 552 Dumbbell Kit,1,299.00
48888821,Bowflex Max Trainer,Bowflex Max Trainer,Online Shopping,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,Web,10/23/2017,10/24/2017,100469 BFX Max Trainer M7,1,1999.00
48888821,Bowflex Max Trainer,Bowflex Max Trainer,Online Shopping,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,Web,10/23/2017,10/24/2017,100469-PS5 M7 Protection Plan - 5 Years (90 Days),0,219.00
48888821,Bowflex Max Trainer,Treadclimber,Online Shopping,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,Web,10/23/2017,10/24/2017,10293 TRC Machine Mat,0,.00
48889653,Bowflex Brand,Bowflex Home Gyms,Electronic - UnSourced,CAM49450 BOWWEB800,Internal,Call Center Internal,10/23/2017,10/24/2017,100334 BFX XTREME 2SE HOME GYM,1,1399.00
48889653,Bowflex Brand,Bowflex Home Gyms,Electronic - UnSourced,CAM49450 BOWWEB800,Internal,Call Center Internal,10/23/2017,10/24/2017,95146 BFX 310# Rod Upgrade,0,.00
48889653,Bowflex Brand,Bowflex Home Gyms,Electronic - UnSourced,CAM49450 BOWWEB800,Internal,Call Center Internal,10/23/2017,10/24/2017,IHA-100334 Bowflex X2SE Home Gym Assembly,0,299.00
48889653,Bowflex Brand,Bowflex Home Gyms,Electronic - UnSourced,CAM49450 BOWWEB800,Internal,Call Center Internal,10/23/2017,10/24/2017,001-3660 E-Z Curl Bar,0,39.99
48889656,Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM49450 BOWWEB800,Internal,Call Center Internal,10/23/2017,10/24/2017,100469 BFX Max Trainer M7,1,1999.00
48889656,Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM49450 BOWWEB800,Internal,Call Center Internal,10/23/2017,10/24/2017,IHA-100469 BOWFLEX MAX TRAINER M7 ASSEMBLY,0,169.00
48889656,Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM49450 BOWWEB800,Internal,Call Center Internal,10/23/2017,10/24/2017,10293 TRC Machine Mat,0,.00
48889657,Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM16616 DEGBFBHG,Internal,Web,10/23/2017,10/24/2017,100469 BFX Max Trainer M7,1,2349.00
48889863,Bowflex Max Trainer,Bowflex Max Trainer,Online Shopping,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,Web,10/23/2017,10/24/2017,100469 BFX Max Trainer M7,1,1999.00
48889863,Bowflex Max Trainer,Treadclimber,Online Shopping,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,Web,10/23/2017,10/24/2017,10293 TRC Machine Mat,0,.00
48890272,Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM49450 BOWWEB800,Internal,Call Center Internal,10/23/2017,10/24/2017,100359 BFX MAX TRAINER M5,1,1499.00
48890593,Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM16616 DEGBFBHG,Internal,Web,10/23/2017,10/24/2017,100359 BFX MAX TRAINER M5,1,1499.00
48890593,Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM16616 DEGBFBHG,Internal,Web,10/23/2017,10/24/2017,10293 TRC Machine Mat,0,99.00
48890694,Bowflex Max Trainer,Bowflex Max Trainer,Un-Sourced,CAM45327 1800MAXTRAINER,Internal,Call Center Internal,10/23/2017,10/24/2017,100359 BFX MAX TRAINER M5,1,1410.00
48890902,Bowflex Brand,Bowflex Max Trainer,Online Search,CAM39441 dosbigl1,TouchPoint Integrated Communications,Web,10/23/2017,10/24/2017,100358 BFX MAX TRAINER M3,1,1099.00
48890902,Bowflex Brand,Bowflex Max Trainer,Online Search,CAM39441 dosbigl1,TouchPoint Integrated Communications,Web,10/23/2017,10/24/2017,100358-PS3 M3 Protection Plan - 3 years (90 Days),0,89.00
48891003,Bowflex Max Trainer,Bowflex Max Trainer,Online Shopping,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,Web,10/23/2017,10/24/2017,100359 BFX MAX TRAINER M5,1,1499.00
