Product Interest,Market Channel,Ad ID,Origin,Order Week Monday,Order Date,# of Kits,Value (Product + Shipping)
Treadclimber,Online Search,CAM30841 icaosgctsl2,Web,7/13/2015,7/17/2015,1,3299.00
Treadclimber,Online Search,CAM37608 SAWICAOSBCT,Call Center Internal,7/13/2015,7/18/2015,1,2099.00
Treadclimber,Electronic - UnSourced,CAM40760 ICATHOME,Call Center Internal,7/13/2015,7/18/2015,1,3299.00
Treadclimber,Online Search,CAM30841 icaosgctsl2,Web,7/13/2015,7/18/2015,1,2199.00
Treadclimber,Electronic - UnSourced,CAM40760 ICATHOME,Web,7/13/2015,7/18/2015,1,2199.00
Treadclimber,Electronic - UnSourced,CAM132 1800BOWFLEX_CAT,Call Center Internal,7/13/2015,7/19/2015,1,2199.00
Treadclimber,Online Search,CAM36695 icaosgctgl1cat,Call Center Internal,7/13/2015,7/19/2015,1,2199.00
Treadclimber,Online Search,CAM30841 icaosgctsl2,Web,7/13/2015,7/19/2015,1,3299.00
Treadclimber,Online Search,CAM37661 icaosgctsl5,Web,7/13/2015,7/19/2015,1,3299.00
Treadclimber,Electronic - UnSourced,CAM40760 ICATHOME,Web,7/13/2015,7/19/2015,1,2199.00
Treadclimber,Electronic - UnSourced,CAM133 1800BOWFLEX_TRC,Call Center Internal,7/20/2015,7/20/2015,1,2219.00
Treadclimber,Online Search,CAM30896 SAWICAOSGCT,Call Center Internal,7/20/2015,7/20/2015,1,2199.00
Treadclimber,Online Search,CAM4190 SAWICAOSGCT_TRC,Call Center Internal,7/20/2015,7/20/2015,1,3299.00
Treadclimber,Online Search,CAM30841 icaosgctsl2,Web,7/20/2015,7/20/2015,1,2199.00
Treadclimber,Un-Sourced,CAM40825 1800TREADCLIMBER,Call Center Internal,7/20/2015,7/21/2015,1,3299.00
Treadclimber,Short Form,CAM47341 ION*N120ALOBYTIC,Call Center Internal,7/20/2015,7/21/2015,1,1650.00
Treadclimber,Electronic - UnSourced,CAM132 1800BOWFLEX_CAT,Call Center Internal,7/20/2015,7/22/2015,1,3299.00
Treadclimber,Online Search,CAM30841 icaosgctsl2,Web,7/20/2015,7/22/2015,1,3299.00
Treadclimber,Electronic - UnSourced,CAM6025 SAWWEBTC,Call Center Internal,7/20/2015,7/23/2015,1,.00
Treadclimber,Online Search,CAM30841 icaosgctsl2,Web,7/20/2015,7/23/2015,1,2199.00
Treadclimber,Electronic - Short Form,CAM30971 icastsf09buytc,Web,7/20/2015,7/24/2015,1,2199.00
Treadclimber,Electronic - UnSourced,CAM40760 ICATHOME,Web,7/20/2015,7/24/2015,1,2199.00
Treadclimber,Electronic - UnSourced,CAM132 1800BOWFLEX_CAT,Call Center Internal,7/20/2015,7/25/2015,1,2199.00
Treadclimber,Short Form,CAM35680 INTELEMEDIACA,Call Center Internal,7/20/2015,7/25/2015,1,1199.00
Treadclimber,Online Search,CAM30841 icaosgctsl2,Web,7/20/2015,7/25/2015,3,6597.00
Treadclimber,Electronic - UnSourced,CAM132 1800BOWFLEX_CAT,Call Center Internal,7/20/2015,7/26/2015,1,2219.00
Treadclimber,Short Form,CAM47116 TNT*L60*ALOHATIC,Call Center Internal,7/20/2015,7/26/2015,1,1750.00
Treadclimber,Online Search,CAM30841 icaosgctsl2,Web,7/20/2015,7/26/2015,2,4398.00
Treadclimber,Electronic - UnSourced,CAM132 1800BOWFLEX_CAT,Call Center Internal,7/27/2015,7/27/2015,2,5498.00
Treadclimber,Short Form,CAM47300 DWOMN60*WALKATIC,Call Center Internal,7/27/2015,7/27/2015,1,1199.00
Treadclimber,Online Search,CAM30842 icaosgctsl3,Web,7/27/2015,7/27/2015,1,3299.00
Treadclimber,Electronic - UnSourced,CAM40760 ICATHOME,Web,7/27/2015,7/27/2015,1,3299.00
Treadclimber,Electronic - UnSourced,CAM132 1800BOWFLEX_CAT,Call Center Internal,7/27/2015,7/28/2015,1,1199.00
Treadclimber,Short Form,CAM35680 INTELEMEDIACA,Call Center Internal,7/27/2015,7/28/2015,1,1750.00
Treadclimber,Online Search,CAM40996 icaosbctgl1cat,Call Center Internal,7/27/2015,7/28/2015,1,3299.00
Treadclimber,Electronic - UnSourced,CAM28491 icat1sitecat,Web,7/27/2015,7/28/2015,1,2199.00
Treadclimber,Electronic - UnSourced,CAM40760 ICATHOME,Web,7/27/2015,7/28/2015,1,2199.00
Treadclimber,Electronic - Short Form,CAM47456 ICASTSF15B,Web,7/27/2015,7/28/2015,1,3299.00
Treadclimber,Electronic - UnSourced,CAM2569 icadhome_TRC,Call Center Internal,7/27/2015,7/29/2015,1,599.00
Treadclimber,Electronic - UnSourced,CAM40760 ICATHOME,Web,7/27/2015,7/29/2015,2,5897.99
Treadclimber,Electronic - Short Form,CAM47456 ICASTSF15B,Web,7/27/2015,7/29/2015,1,2199.00
Treadclimber,Online Search,CAM30841 icaosgctsl2,Call Center Internal,7/27/2015,7/30/2015,1,2199.00
Treadclimber,Online Search,CAM36695 icaosgctgl1cat,Web,7/27/2015,7/30/2015,1,2598.99
Treadclimber,Electronic - UnSourced,CAM40760 ICATHOME,Web,7/27/2015,7/30/2015,1,2199.00
Treadclimber,Electronic - UnSourced,CAM132 1800BOWFLEX_CAT,Call Center Internal,7/27/2015,7/31/2015,1,2199.00
Treadclimber,Un-Sourced,CAM40825 1800TREADCLIMBER,Call Center Internal,7/27/2015,7/31/2015,1,2199.00
Treadclimber,Short Form,CAM47461 CHCHC120LADY*KST,Call Center Internal,7/27/2015,7/31/2015,1,3299.00
Treadclimber,Online Search,CAM30841 icaosgctsl2,Web,7/27/2015,7/31/2015,1,2199.00
Treadclimber,Electronic - UnSourced,CAM132 1800BOWFLEX_CAT,Call Center Internal,7/27/2015,8/1/2015,1,2199.00
Treadclimber,Short Form,CAM35680 INTELEMEDIACA,Call Center Internal,7/27/2015,8/1/2015,1,1650.00
Treadclimber,Electronic - UnSourced,CAM40760 ICATHOME,Web,7/27/2015,8/1/2015,1,2199.00
