Product Interest,Ad ID,Info Kit Date,Inquiry Date,Inquiry Week Monday,Leads,Market Channel,Origin
Bowflex Max Trainer,CAM45690 SAWICAOSGCE,5/5/2015,5/5/2015,5/4/2015,2,Online Search,Call Center Internal
Bowflex Max Trainer,CAM45690 SAWICAOSGCE,,5/6/2015,5/4/2015,1,Online Search,Call Center Internal
Bowflex Max Trainer,CAM45691 SAWICAOSBCE,5/10/2015,5/10/2015,5/4/2015,1,Online Search,Call Center Internal
Bowflex Max Trainer,CAM45836 ICAOSGCESL3,,5/6/2015,5/4/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45838 ICAOSGCESL5,,5/10/2015,5/4/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45839 ICAOSGCESL6,5/6/2015,5/6/2015,5/4/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45842 ICAOSGCESL9,,5/6/2015,5/4/2015,1,Online Search,Web
Bowflex Max Trainer,CAM47271 ICAOSGCESL10,5/5/2015,5/5/2015,5/4/2015,1,Online Search,Web
Bowflex Max Trainer,CAM47271 ICAOSGCESL10,5/6/2015,5/6/2015,5/4/2015,1,Online Search,Web
Bowflex Max Trainer,CAM47271 ICAOSGCESL10,,5/8/2015,5/4/2015,2,Online Search,Web
Bowflex Max Trainer,CAM47271 ICAOSGCESL10,5/9/2015,5/9/2015,5/4/2015,1,Online Search,Web
Bowflex Max Trainer,CAM47271 ICAOSGCESL10,,5/10/2015,5/4/2015,1,Online Search,Web
Bowflex Max Trainer,CAM47272 ICAOSGCESL11,5/7/2015,5/7/2015,5/4/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45631 ICAOFG2EFEED1,,5/5/2015,5/4/2015,1,Online Shopping,Web
Bowflex Max Trainer,CAM45631 ICAOFG2EFEED1,5/6/2015,5/6/2015,5/4/2015,1,Online Shopping,Web
Bowflex Max Trainer,CAM45631 ICAOFG2EFEED1,5/8/2015,5/8/2015,5/4/2015,1,Online Shopping,Web
Bowflex Max Trainer,CAM45631 ICAOFG2EFEED1,5/11/2015,5/9/2015,5/4/2015,1,Online Shopping,Web
Bowflex Max Trainer,CAM24151 MAXFITADDVAL,,5/6/2015,5/4/2015,1,Print,Call Center Internal
Bowflex Max Trainer,CAM45941 IFC*C120BFMAXKST,,5/6/2015,5/4/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47569 BIO*C120HAMF*KST,5/9/2015,5/9/2015,5/4/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47570 CI**C120HAMF*KST,,5/6/2015,5/4/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47572 GOL*C120HAMF*KST,5/8/2015,5/8/2015,5/4/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47572 GOL*C120HAMF*KST,5/9/2015,5/9/2015,5/4/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47572 GOL*C120HAMF*KST,5/10/2015,5/10/2015,5/4/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47573 NGW*C120HAMF*KST,5/6/2015,5/6/2015,5/4/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47573 NGW*C120HAMF*KST,5/9/2015,5/9/2015,5/4/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47576 WEATC120HAMF*KST,5/8/2015,5/8/2015,5/4/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM28157 SALESFOLLOWUP,,5/5/2015,5/4/2015,1,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,,5/5/2015,5/4/2015,2,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,5/7/2015,5/7/2015,5/4/2015,1,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,,5/7/2015,5/4/2015,1,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM44172 dseesf14a,5/15/2015,5/15/2015,5/11/2015,2,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45693 ICASESF14A,,5/13/2015,5/11/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45693 ICASESF14A,5/16/2015,5/16/2015,5/11/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45694 ICASESF14B,5/11/2015,5/11/2015,5/11/2015,1,Electronic - Short Form,Call Center Internal
Bowflex Max Trainer,CAM45694 ICASESF14B,5/11/2015,5/11/2015,5/11/2015,7,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45694 ICASESF14B,,5/11/2015,5/11/2015,2,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45694 ICASESF14B,5/12/2015,5/12/2015,5/11/2015,16,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45694 ICASESF14B,5/13/2015,5/13/2015,5/11/2015,13,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45694 ICASESF14B,5/14/2015,5/14/2015,5/11/2015,32,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45694 ICASESF14B,,5/14/2015,5/11/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45694 ICASESF14B,5/15/2015,5/15/2015,5/11/2015,13,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45694 ICASESF14B,5/26/2015,5/15/2015,5/11/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45694 ICASESF14B,,5/15/2015,5/11/2015,1,Electronic - Short Form,Web
