Bowflex Catalog,Electronic - UnSourced,CAM47359 DEGCORDSTAT,Call Center Internal,4/11/2016,4/16/2016,1,1599.00
Treadclimber,Electronic - UnSourced,CAM6025 SAWWEBTC,Call Center Internal,4/11/2016,4/16/2016,2,3156.07
Bowflex Home Gyms,Electronic - UnSourced,CAM16616 DEGBFBHG,Web,4/11/2016,4/16/2016,0,110.97
Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM23877 degd1sitest,Web,4/11/2016,4/16/2016,1,947.00
Treadclimber,Electronic - UnSourced,CAM23879 degt1sitetc,Web,4/11/2016,4/16/2016,3,6082.20
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,4/11/2016,4/16/2016,4,10556.97
Bowflex Home Gyms,Electronic - UnSourced,CAM32136 deggbhg,Web,4/11/2016,4/16/2016,0,49.98
Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM34888 degdbst,Web,4/11/2016,4/16/2016,2,1375.00
Bowflex Max Trainer,Electronic - UnSourced,CAM41189 degemax,Web,4/11/2016,4/16/2016,15,25059.00
Bowflex Max Trainer,Electronic - UnSourced,CAM44433 dege1sitemx,Web,4/11/2016,4/16/2016,10,14539.00
Treadclimber,Online,CAM6110 SAWGOOGTC,Call Center Internal,4/11/2016,4/16/2016,5,11922.03
Bowflex Max Trainer,Online Display,CAM47239 SAWDODCTOE,Call Center Internal,4/11/2016,4/16/2016,3,6165.00
Treadclimber,Online Display,CAM38447 dodrftdl1,Web,4/11/2016,4/16/2016,1,2029.10
Bowflex Max Trainer,Online Display,CAM47251 DODCTOEDL2,Web,4/11/2016,4/16/2016,8,13840.99
Treadclimber,Online Display,CAM47254 DODCTOTDL1,Web,4/11/2016,4/16/2016,2,4077.18
Bowflex Home Gyms,Online Search,CAM30796 SAWDOSG2G,Call Center Internal,4/11/2016,4/16/2016,1,1698.97
Bowflex Home Gyms,Online Search,CAM31080 dosg2ggl1bf,Call Center Internal,4/11/2016,4/16/2016,1,1698.00
Bowflex Max Trainer,Online Search,CAM44230 SAWDOSG2E,Call Center Internal,4/11/2016,4/16/2016,8,10868.90
Bowflex Max Trainer,Online Search,CAM44539 SAWDOSG2EMOBILE2,Call Center Internal,4/11/2016,4/16/2016,1,1049.00
Bowflex Home Gyms,Online Search,CAM31080 dosg2ggl1bf,Web,4/11/2016,4/16/2016,0,350.93
Treadclimber,Online Search,CAM31082 dosg2tgl1tc,Web,4/11/2016,4/16/2016,0,37.96
Bowflex Selecttech Dumbbells,Online Search,CAM32678 dosg2dgl1st,Web,4/11/2016,4/16/2016,1,349.00
Bowflex Selecttech Dumbbells,Online Search,CAM37428 dosg2dsl14,Web,4/11/2016,4/16/2016,1,349.00
Bowflex Selecttech Dumbbells,Online Search,CAM37432 dosg2dsl18,Web,4/11/2016,4/16/2016,1,577.99
Treadclimber,Online Search,CAM37440 dosg2tsl21,Web,4/11/2016,4/16/2016,4,10144.36
Treadclimber,Online Search,CAM37493 dosbitsl6,Web,4/11/2016,4/16/2016,3,6374.26
Treadclimber,Online Search,CAM37655 dosbitsl10,Web,4/11/2016,4/16/2016,2,5938.20
Bowflex Selecttech Dumbbells,Online Search,CAM37741 dosbidsl9,Web,4/11/2016,4/16/2016,1,488.00
Bowflex Home Gyms,Online Search,CAM37744 dosbigsl7,Web,4/11/2016,4/16/2016,0,23.98
