Bowflex Max Trainer,CAM44948 dofbiefeed1,,2/20/2017,2/20/2017,5,Online Shopping,Web
Bowflex Max Trainer,CAM45042 SAWDOFBIE,,2/20/2017,2/20/2017,2,Online Shopping,Call Center Internal
Bowflex Max Trainer,CAM45043 SAWDOFG2E,2/20/2017,2/20/2017,2/20/2017,1,Online Shopping,Call Center Internal
Bowflex Max Trainer,CAM45043 SAWDOFG2E,,2/20/2017,2/20/2017,1,Online Shopping,Call Center Internal
Bowflex Selecttech Dumbbells,CAM45043 SAWDOFG2E,,2/20/2017,2/20/2017,1,Online Shopping,Call Center Internal
Treadclimber,CAM45043 SAWDOFG2E,,2/20/2017,2/20/2017,1,Online Shopping,Call Center Internal
Treadclimber,CAM45043 SAWDOFG2E,,2/20/2017,2/20/2017,1,Online Shopping,Third Party Call Center - Evolve
Bowflex Home Gyms,CAM45327 1800MAXTRAINER,,2/20/2017,2/20/2017,2,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,2/20/2017,2/20/2017,2/20/2017,1,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,,2/20/2017,2/20/2017,9,Un-Sourced,Call Center Internal
Bowflex Revolution,CAM45327 1800MAXTRAINER,,2/20/2017,2/20/2017,2,Un-Sourced,Call Center Internal
Schwinn,CAM45327 1800MAXTRAINER,,2/20/2017,2/20/2017,1,Un-Sourced,Call Center Internal
Treadclimber,CAM45327 1800MAXTRAINER,,2/20/2017,2/20/2017,7,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45387 DSEESF14E,2/20/2017,2/20/2017,2/20/2017,2,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45387 DSEESF14E,,2/20/2017,2/20/2017,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45729 DOSG2ESL6,,2/20/2017,2/20/2017,3,Online Search,Web
Treadclimber,CAM45729 DOSG2ESL6,,2/20/2017,2/20/2017,1,Online Search,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,2/20/2017,2/20/2017,2/20/2017,2,Online Search,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,,2/20/2017,2/20/2017,9,Online Search,Web
Treadclimber,CAM45730 DOSG2ESL7,,2/20/2017,2/20/2017,1,Online Search,Web
Bowflex Max Trainer,CAM45732 DOSBIESL7,,2/20/2017,2/20/2017,3,Online Search,Web
Bowflex Max Trainer,CAM45797 DSEESF14G,,2/20/2017,2/20/2017,1,Electronic - Short Form,Web
Bowflex Catalog,CAM45798 DSEESF14H,2/20/2017,2/20/2017,2/20/2017,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,2/20/2017,2/20/2017,2/20/2017,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,,2/20/2017,2/20/2017,9,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45898 DOXFBERESPONSE,,2/20/2017,2/20/2017,1,Online Social,Call Center Internal
Bowflex Max Trainer,CAM45910 DODADCEDL3,2/20/2017,2/20/2017,2/20/2017,1,Online Display,Web
Bowflex Max Trainer,CAM45910 DODADCEDL3,,2/20/2017,2/20/2017,1,Online Display,Web
Treadclimber,CAM46966 PUREN180ALOHATIC,2/20/2017,2/20/2017,2/20/2017,1,Short Form,Call Center Internal
Bowflex Catalog,CAM47150 DOSG2ESL9,,2/20/2017,2/20/2017,1,Online Search,Call Center Internal
Treadclimber,CAM47150 DOSG2ESL9,,2/20/2017,2/20/2017,1,Online Search,Call Center Internal
Bowflex Catalog,CAM47150 DOSG2ESL9,2/20/2017,2/20/2017,2/20/2017,2,Online Search,Web
Bowflex Home Gyms,CAM47150 DOSG2ESL9,,2/20/2017,2/20/2017,1,Online Search,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,2/20/2017,2/20/2017,2/20/2017,1,Online Search,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,,2/20/2017,2/20/2017,14,Online Search,Web
