Product Interest,Ad ID,Info Kit Date,Inquiry Date,Inquiry Week Monday,Leads,Market Channel,Origin
Bowflex Home Gyms,CAM40758 ICADHOME,,8/1/2015,7/27/2015,1,Online,Web
Bowflex Home Gyms,CAM30851 icaosgcwsl6,7/29/2015,7/29/2015,7/27/2015,1,Online Search,Web
Bowflex Home Gyms,CAM30891 SAWICAOSGCW,,7/28/2015,7/27/2015,1,Online Search,Call Center Internal
Bowflex Home Gyms,CAM30891 SAWICAOSGCW,7/29/2015,7/29/2015,7/27/2015,1,Online Search,Call Center Internal
Bowflex Home Gyms,CAM30891 SAWICAOSGCW,,7/29/2015,7/27/2015,1,Online Search,Call Center Internal
Bowflex Home Gyms,CAM30891 SAWICAOSGCW,,7/30/2015,7/27/2015,2,Online Search,Call Center Internal
Bowflex Revolution,CAM30891 SAWICAOSGCW,,7/30/2015,7/27/2015,2,Online Search,Call Center Internal
Bowflex Home Gyms,CAM31268 icaosgcwgl1cab,7/27/2015,7/27/2015,7/27/2015,1,Online Search,Web
Bowflex Home Gyms,CAM31268 icaosgcwgl1cab,7/28/2015,7/28/2015,7/27/2015,1,Online Search,Web
Bowflex Home Gyms,CAM31268 icaosgcwgl1cab,,7/30/2015,7/27/2015,1,Online Search,Web
Bowflex Home Gyms,CAM31268 icaosgcwgl1cab,7/31/2015,7/31/2015,7/27/2015,1,Online Search,Web
Bowflex Home Gyms,CAM31268 icaosgcwgl1cab,8/1/2015,8/1/2015,7/27/2015,1,Online Search,Web
Bowflex Home Gyms,CAM31268 icaosgcwgl1cab,,8/1/2015,7/27/2015,1,Online Search,Web
Bowflex Home Gyms,CAM31268 icaosgcwgl1cab,8/2/2015,8/2/2015,7/27/2015,2,Online Search,Web
Bowflex Home Gyms,CAM31268 icaosgcwgl1cab,8/6/2015,8/2/2015,7/27/2015,1,Online Search,Web
Bowflex Home Gyms,CAM31268 icaosgcwgl1cab,,8/2/2015,7/27/2015,1,Online Search,Web
Bowflex Home Gyms,CAM37658 icaosbcgsl5,,8/2/2015,7/27/2015,1,Online Search,Web
Bowflex Home Gyms,CAM37662 icaosgcwsl23,,7/31/2015,7/27/2015,1,Online Search,Web
Bowflex Home Gyms,CAM39395 icaosbcgsl8,,8/1/2015,7/27/2015,1,Online Search,Web
Bowflex Home Gyms,CAM39397 icaosgcwsl29,,8/1/2015,7/27/2015,1,Online Search,Web
Bowflex Revolution,CAM39397 icaosgcwsl29,,8/1/2015,7/27/2015,1,Online Search,Web
Bowflex Home Gyms,CAM40991 icaosbcggl1cab,7/27/2015,7/27/2015,7/27/2015,1,Online Search,Web
Bowflex Home Gyms,CAM41258 icaosgcwsl30,7/27/2015,7/27/2015,7/27/2015,6,Online Search,Web
Bowflex Home Gyms,CAM41258 icaosgcwsl30,,7/27/2015,7/27/2015,1,Online Search,Web
Bowflex Home Gyms,CAM41258 icaosgcwsl30,7/28/2015,7/28/2015,7/27/2015,4,Online Search,Web
Bowflex Home Gyms,CAM41258 icaosgcwsl30,,7/28/2015,7/27/2015,1,Online Search,Web
Bowflex Home Gyms,CAM41258 icaosgcwsl30,7/29/2015,7/29/2015,7/27/2015,3,Online Search,Web
Bowflex Home Gyms,CAM41258 icaosgcwsl30,7/31/2015,7/31/2015,7/27/2015,3,Online Search,Web
Bowflex Home Gyms,CAM41258 icaosgcwsl30,8/1/2015,8/1/2015,7/27/2015,3,Online Search,Web
Bowflex Home Gyms,CAM41258 icaosgcwsl30,8/2/2015,8/2/2015,7/27/2015,3,Online Search,Web
Bowflex Home Gyms,CAM47278 ICAOSGCWSL35,7/30/2015,7/30/2015,7/27/2015,1,Online Search,Web
Bowflex Home Gyms,CAM45438 ICAOFG2GFEED1,,7/29/2015,7/27/2015,1,Online Shopping,Web
Bowflex Home Gyms,CAM45438 ICAOFG2GFEED1,8/1/2015,8/1/2015,7/27/2015,1,Online Shopping,Web
Bowflex Home Gyms,CAM45438 ICAOFG2GFEED1,,8/1/2015,7/27/2015,2,Online Shopping,Web
Bowflex Home Gyms,CAM45438 ICAOFG2GFEED1,,8/2/2015,7/27/2015,1,Online Shopping,Web
Bowflex Revolution,CAM45438 ICAOFG2GFEED1,,8/2/2015,7/27/2015,1,Online Shopping,Web
Bowflex Home Gyms,CAM28157 SALESFOLLOWUP,,7/28/2015,7/27/2015,1,Un-Sourced,Call Center Internal
Bowflex Home Gyms,CAM28157 SALESFOLLOWUP,,7/31/2015,7/27/2015,3,Un-Sourced,Call Center Internal
Bowflex Home Gyms,CAM127 1800BOWFLEX_BFC,,8/6/2015,8/3/2015,1,Electronic - UnSourced,Call Center Internal
Bowflex Home Gyms,CAM128 1800BOWFLEX_CAB,,8/8/2015,8/3/2015,1,Electronic - UnSourced,Call Center Internal
Bowflex Home Gyms,CAM26641 icawsinglelp,,8/6/2015,8/3/2015,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM28343 icad1sitecas,,8/7/2015,8/3/2015,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM28364 icaw1sitecab,8/3/2015,8/3/2015,8/3/2015,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM28364 icaw1sitecab,8/4/2015,8/4/2015,8/3/2015,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM28364 icaw1sitecab,8/5/2015,8/5/2015,8/3/2015,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM28364 icaw1sitecab,8/7/2015,8/7/2015,8/3/2015,2,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM28364 icaw1sitecab,,8/7/2015,8/3/2015,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM28364 icaw1sitecab,8/8/2015,8/8/2015,8/3/2015,2,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM28364 icaw1sitecab,8/9/2015,8/9/2015,8/3/2015,2,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM28364 icaw1sitecab,,8/9/2015,8/3/2015,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM40739 ICAWHOME,8/4/2015,8/4/2015,8/3/2015,2,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM40739 ICAWHOME,,8/5/2015,8/3/2015,2,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM40739 ICAWHOME,8/6/2015,8/6/2015,8/3/2015,3,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM40739 ICAWHOME,,8/6/2015,8/3/2015,3,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM40739 ICAWHOME,8/8/2015,8/8/2015,8/3/2015,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM40739 ICAWHOME,,8/8/2015,8/3/2015,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM40758 ICADHOME,,8/7/2015,8/3/2015,1,Online,Call Center Internal
Bowflex Home Gyms,CAM30891 SAWICAOSGCW,,8/5/2015,8/3/2015,2,Online Search,Call Center Internal
Bowflex Home Gyms,CAM31268 icaosgcwgl1cab,,8/4/2015,8/3/2015,1,Online Search,Web
Bowflex Home Gyms,CAM31268 icaosgcwgl1cab,,8/5/2015,8/3/2015,2,Online Search,Web
Bowflex Revolution,CAM31268 icaosgcwgl1cab,,8/5/2015,8/3/2015,1,Online Search,Web
Bowflex Home Gyms,CAM31268 icaosgcwgl1cab,,8/7/2015,8/3/2015,1,Online Search,Web
Bowflex Home Gyms,CAM31587 icaosgcdgl1cas,,8/5/2015,8/3/2015,1,Online Search,Web
Bowflex Home Gyms,CAM37662 icaosgcwsl23,,8/9/2015,8/3/2015,1,Online Search,Web
Bowflex Home Gyms,CAM39395 icaosbcgsl8,8/9/2015,8/9/2015,8/3/2015,1,Online Search,Web
