Product Interest,Market Channel,Ad ID,Origin,Order Week Monday,Order Date,# of Kits,Value (Product + Shipping)
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,8/10/2015,8/16/2015,1,1599.00
Bowflex Home Gyms,Online Search,CAM30796 SAWDOSG2G,Call Center Internal,8/10/2015,8/16/2015,4,174.60
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,8/10/2015,8/16/2015,3,6837.30
Bowflex Home Gyms,Online Search,CAM31080 dosg2ggl1bf,Web,8/10/2015,8/16/2015,1,2699.10
Bowflex Home Gyms,Online Search,CAM39440 dosbiggl1bf,Web,8/10/2015,8/16/2015,1,1439.10
Bowflex Home Gyms,Electronic - UnSourced,CAM25756 DEGSAWBFG,Call Center Internal,8/17/2015,8/17/2015,1,.00
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,8/17/2015,8/17/2015,8,11191.00
Bowflex Home Gyms,Online,CAM36041 SAWBFIM0003,Call Center Internal,8/17/2015,8/17/2015,1,1119.31
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,8/17/2015,8/17/2015,3,5577.30
Bowflex Home Gyms,Online Search,CAM31080 dosg2ggl1bf,Web,8/17/2015,8/17/2015,2,3428.09
Bowflex Home Gyms,Electronic - UnSourced,CAM32136 deggbhg,Web,8/17/2015,8/17/2015,1,1439.10
Bowflex Home Gyms,Online Search,CAM37110 dosbigsl4,Web,8/17/2015,8/17/2015,1,1768.99
Bowflex Home Gyms,Electronic - UnSourced,CAM25756 DEGSAWBFG,Call Center Internal,8/17/2015,8/18/2015,3,3598.10
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,8/17/2015,8/18/2015,7,9943.10
Bowflex Home Gyms,Electronic - Short Form,CAM5676 SAWWEBBF,Call Center Internal,8/17/2015,8/18/2015,3,35.97
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,8/17/2015,8/18/2015,2,2878.20
Bowflex Home Gyms,Online Search,CAM31080 dosg2ggl1bf,Web,8/17/2015,8/18/2015,3,6937.20
Bowflex Home Gyms,Online Search,CAM39440 dosbiggl1bf,Web,8/17/2015,8/18/2015,1,2699.10
Bowflex Home Gyms,Online Display,CAM47260 DODCTOGDL1,Web,8/17/2015,8/18/2015,1,2699.10
Bowflex Home Gyms,Electronic - UnSourced,CAM25756 DEGSAWBFG,Call Center Internal,8/17/2015,8/19/2015,1,1439.10
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,8/17/2015,8/19/2015,8,11431.94
Bowflex Home Gyms,Electronic - UnSourced,CAM16616 DEGBFBHG,Web,8/17/2015,8/19/2015,1,728.99
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,8/17/2015,8/19/2015,1,1439.10
Bowflex Home Gyms,Electronic - UnSourced,CAM32136 deggbhg,Web,8/17/2015,8/19/2015,1,1439.10
Bowflex Home Gyms,Online Search,CAM37743 dosbigsl6,Web,8/17/2015,8/19/2015,1,1439.10
Bowflex Home Gyms,Electronic - UnSourced,CAM1154 DEGSAWBFG_BFX,Call Center Internal,8/17/2015,8/20/2015,1,1439.10
Bowflex Home Gyms,Electronic - UnSourced,CAM136 1800NAUTILUS_BFX,Call Center Internal,8/17/2015,8/20/2015,2,1788.10
Bowflex Home Gyms,Print,CAM20634 BFX6WKSAT,Call Center Internal,8/17/2015,8/20/2015,1,1099.00
Bowflex Home Gyms,Electronic - UnSourced,CAM25756 DEGSAWBFG,Call Center Internal,8/17/2015,8/20/2015,2,2238.60
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,8/17/2015,8/20/2015,4,7566.20
Bowflex Home Gyms,Online Search,CAM30796 SAWDOSG2G,Call Center Internal,8/17/2015,8/20/2015,2,5398.20
Bowflex Home Gyms,Electronic - Short Form,CAM5676 SAWWEBBF,Call Center Internal,8/17/2015,8/20/2015,1,.00
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,8/17/2015,8/20/2015,4,7186.30
Bowflex Home Gyms,Online Search,CAM31080 dosg2ggl1bf,Web,8/17/2015,8/20/2015,2,5898.09
Bowflex Home Gyms,Online Search,CAM37117 dosg2gsl27,Web,8/17/2015,8/20/2015,1,1768.99
Bowflex Home Gyms,Online Search,CAM39440 dosbiggl1bf,Web,8/17/2015,8/20/2015,1,1439.10
Bowflex Home Gyms,Electronic - UnSourced,CAM25756 DEGSAWBFG,Call Center Internal,8/17/2015,8/21/2015,3,3447.00
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,8/17/2015,8/21/2015,4,7766.10
Bowflex Home Gyms,Online Search,CAM30796 SAWDOSG2G,Call Center Internal,8/17/2015,8/21/2015,1,2699.10
Bowflex Home Gyms,Un-Sourced,CAM40821 1800BOWFLEX,Call Center Internal,8/17/2015,8/21/2015,1,999.00
Bowflex Home Gyms,Electronic - UnSourced,CAM4218 SAWWEBST_BFX,Call Center Internal,8/17/2015,8/21/2015,2,3318.10
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,8/17/2015,8/21/2015,2,4138.20
Bowflex Home Gyms,Online Search,CAM31080 dosg2ggl1bf,Web,8/17/2015,8/21/2015,2,4138.20
Bowflex Home Gyms,Electronic - UnSourced,CAM1154 DEGSAWBFG_BFX,Call Center Internal,8/17/2015,8/22/2015,2,2878.20
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,8/17/2015,8/22/2015,4,4547.80
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,8/17/2015,8/22/2015,1,1439.10
Bowflex Home Gyms,Online Search,CAM30796 SAWDOSG2G,Call Center Internal,8/17/2015,8/23/2015,1,1439.10
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,8/17/2015,8/23/2015,1,2699.10
